날짜,매장,요일,총주문,매장주문,배달주문,대게kg,킹크랩kg,랍스타kg,주류매출,매장매출,배달매출,포장매출,현금매출,총매출,총kg,객단가,원본시트,중복
2025-08-01,안양점,금,14,14,,21.9,12.2,1.5,72000,3276800,,,0,3276800,35.6,234057,샘플,
2025-08-02,안양점,토,18,18,,28.0,15.9,5.1,91000,4934500,,,0,4934500,49.0,274139,샘플,
2025-08-03,안양점,일,15,15,,29.8,13.3,2.5,67000,4166100,,82500,0,4248600,45.6,283240,샘플,
2025-08-04,안양점,월,10,10,,20.1,9.1,1.5,52000,2672200,,,0,2672200,30.7,267220,샘플,
2025-08-05,안양점,화,8,8,,14.2,6.8,0.8,45000,2091300,,,0,2091300,21.8,261412,샘플,
2025-08-06,안양점,수,8,8,,15.0,8.6,0.2,55000,2152500,,,0,2152500,23.8,269062,샘플,
2025-08-07,안양점,목,12,12,1,23.1,11.2,0.2,68000,3349200,128300,,0,3477500,34.5,289792,샘플,
2025-08-08,안양점,금,8,8,,14.6,7.2,1.2,68000,1962100,,,0,1962100,23.0,245262,샘플,
2025-08-09,안양점,토,17,17,1,29.8,11.4,2.2,149000,4564700,247600,166100,0,4978400,43.4,292847,샘플,
2025-08-10,안양점,일,15,15,,24.9,10.7,1.1,100000,3959200,,,0,3959200,36.7,263947,샘플,
2025-08-11,안양점,월,8,8,1,18.2,8.6,1.6,47000,2254200,232900,155700,0,2642800,28.4,330350,샘플,
2025-08-12,안양점,화,8,8,,12.7,7.3,0.1,34000,1877700,,,0,1877700,20.1,234712,샘플,
2025-08-13,안양점,수,,,,,,,,,,,,0,,,샘플,
2025-08-14,안양점,목,11,11,,16.8,11.4,2.0,50000,2644300,,103600,0,2747900,30.2,249809,샘플,
2025-08-15,안양점,금,14,14,,33.5,11.7,2.0,114000,3304100,,91700,0,3395800,47.2,242557,샘플,
2025-08-16,안양점,토,20,20,,39.5,13.5,3.3,106000,4637800,,,0,4637800,56.3,231890,샘플,
2025-08-17,안양점,일,14,14,,23.1,13.8,2.2,124000,3983400,,157300,0,4140700,39.1,295764,샘플,
2025-08-18,안양점,월,10,10,,21.7,7.1,1.6,49000,2548800,,,0,2548800,30.4,254880,샘플,
2025-08-19,안양점,화,4,4,,7.2,4.0,0.9,19000,1017800,,,0,1017800,12.1,254450,샘플,
2025-08-20,안양점,수,5,5,,11.3,4.2,1.0,39000,1429800,,,0,1429800,16.5,285960,샘플,
2025-08-21,안양점,목,6,6,1,11.6,4.1,1.4,45000,1519600,158700,173600,0,1851900,17.1,308650,샘플,
2025-08-22,안양점,금,13,13,1,30.1,13.0,0.6,87000,3742100,191700,,0,3933800,43.7,302600,샘플,
2025-08-23,안양점,토,,,,,,,,,,,,0,,,샘플,
2025-08-24,안양점,일,14,14,,30.2,9.1,3.1,70000,3356400,,,0,3356400,42.4,239743,샘플,
2025-08-25,안양점,월,9,9,1,17.9,9.2,0.2,77000,2536100,192600,110400,0,2839100,27.3,315456,샘플,
2025-08-26,안양점,화,6,6,,11.9,5.2,0.0,38000,1564800,,,0,1564800,17.1,260800,샘플,
2025-08-27,안양점,수,7,7,,13.8,6.1,1.6,31000,1661900,,,0,1661900,21.5,237414,샘플,
2025-08-28,안양점,목,9,9,,13.7,9.4,0.2,72000,2275100,,,0,2275100,23.3,252789,샘플,
2025-08-29,안양점,금,13,13,,29.7,13.8,3.6,77000,3802400,,,0,3802400,47.1,292492,샘플,
2025-08-30,안양점,토,18,18,,37.9,14.7,1.1,129000,4521500,,,0,4521500,53.7,251194,샘플,
2025-08-31,안양점,일,13,13,,25.0,12.7,0.4,80000,3795200,,,0,3795200,38.1,291938,샘플,
2025-09-01,안양점,월,10,10,,18.1,7.0,1.0,40000,2805500,,,0,2805500,26.1,280550,샘플,
2025-09-02,안양점,화,6,6,,9.3,6.6,1.4,47000,1788100,,,0,1788100,17.3,298017,샘플,
2025-09-03,안양점,수,7,7,,11.3,5.7,1.9,47000,2011200,,170300,0,2181500,18.9,311643,샘플,
2025-09-04,안양점,목,10,10,,21.2,8.1,0.2,51000,2956800,,,0,2956800,29.5,295680,샘플,
2025-09-05,안양점,금,13,13,,20.9,7.9,3.9,67000,3370100,,,0,3370100,32.7,259238,샘플,
2025-09-06,안양점,토,16,16,,26.9,12.1,1.5,91000,4530600,,81300,0,4611900,40.5,288244,샘플,
2025-09-07,안양점,일,,,,,,,,,,,,0,,,샘플,
2025-09-08,안양점,월,9,9,1,13.6,8.7,1.5,72000,2189300,121700,,0,2311000,23.8,256778,샘플,
2025-09-09,안양점,화,4,4,,7.4,3.4,0.8,18000,1195000,,147400,0,1342400,11.6,335600,샘플,
2025-09-10,안양점,수,9,9,,21.5,9.2,0.0,73000,2464000,,,0,2464000,30.7,273778,샘플,
2025-09-11,안양점,목,9,9,1,15.5,6.7,1.2,79000,2169200,80600,,0,2249800,23.4,249978,샘플,
2025-09-12,안양점,금,11,11,,18.9,11.9,1.0,71000,2804500,,,0,2804500,31.8,254955,샘플,
2025-09-13,안양점,토,15,15,,26.1,9.7,1.8,103000,3493700,,87900,0,3581600,37.6,238773,샘플,
2025-09-14,안양점,일,13,13,1,28.3,12.1,2.8,61000,3789900,209900,178100,0,4177900,43.2,321377,샘플,
2025-09-15,안양점,월,8,8,,18.0,8.4,1.5,64000,2250900,,128200,0,2379100,27.9,297388,샘플,
2025-09-16,안양점,화,,,,,,,,,,,,0,,,샘플,
2025-09-17,안양점,수,8,8,,17.7,7.6,2.3,70000,2200000,,,0,2200000,27.6,275000,샘플,
2025-09-18,안양점,목,9,9,1,13.7,7.8,0.7,76000,2236100,215600,171900,0,2623600,22.2,291511,샘플,
2025-09-19,안양점,금,13,13,,25.7,12.6,1.8,94000,3726300,,,0,3726300,40.1,286638,샘플,
2025-09-20,안양점,토,16,16,,37.1,11.9,0.2,116000,4388700,,,0,4388700,49.2,274294,샘플,
2025-09-21,안양점,일,13,13,,26.8,8.7,1.9,98000,3432000,,118700,0,3550700,37.4,273131,샘플,
2025-09-22,안양점,월,5,5,1,12.0,4.4,0.5,32000,1180000,82900,,0,1262900,16.9,252580,샘플,
2025-09-23,안양점,화,8,8,,19.2,6.3,2.2,42000,2361100,,,0,2361100,27.7,295138,샘플,
2025-09-24,안양점,수,6,6,1,10.5,3.9,0.7,38000,1589100,146900,,0,1736000,15.1,289333,샘플,
2025-09-25,안양점,목,8,8,,14.2,5.4,0.8,36000,2017000,,,0,2017000,20.4,252125,샘플,
2025-09-26,안양점,금,12,12,,21.1,9.4,1.4,99000,3598900,,,0,3598900,31.9,299908,샘플,
2025-09-27,안양점,토,11,11,,17.0,10.2,2.1,64000,2644600,,,0,2644600,29.3,240418,샘플,
2025-09-28,안양점,일,16,16,,33.1,16.9,4.5,113000,4295100,,109300,0,4404400,54.5,275275,샘플,
2025-09-29,안양점,월,6,6,,13.7,5.1,1.6,31000,1611000,,,0,1611000,20.4,268500,샘플,
2025-09-30,안양점,화,6,6,,10.3,5.0,1.2,38000,1430200,,168700,0,1598900,16.5,266483,샘플,
2025-10-01,안양점,수,7,7,,16.2,7.7,0.9,31000,1678400,,,0,1678400,24.8,239771,샘플,
2025-10-02,안양점,목,9,9,,20.7,8.8,1.1,58000,2330700,,,0,2330700,30.6,258967,샘플,
2025-10-03,안양점,금,15,15,,27.4,14.2,2.4,108000,4279800,,,0,4279800,44.0,285320,샘플,
2025-10-04,안양점,토,14,14,1,33.2,9.3,1.8,83000,3968400,244600,,0,4213000,44.3,300929,샘플,
2025-10-05,안양점,일,17,17,,38.1,17.5,5.0,125000,4205600,,,0,4205600,60.6,247388,샘플,
2025-10-06,안양점,월,8,8,,17.5,6.6,1.3,44000,1862100,,,0,1862100,25.4,232762,샘플,
2025-10-07,안양점,화,5,5,,8.6,4.6,1.0,26000,1189200,,83000,0,1272200,14.2,254440,샘플,
2025-10-08,안양점,수,11,11,,26.4,8.1,1.0,45000,3176300,,,0,3176300,35.5,288755,샘플,
2025-10-09,안양점,목,10,10,1,20.8,6.3,0.6,86000,2919300,93700,,0,3013000,27.7,301300,샘플,
2025-10-10,안양점,금,14,14,,26.3,13.2,0.8,113000,4001100,,,0,4001100,40.3,285793,샘플,
2025-10-11,안양점,토,16,16,1,27.2,15.7,1.4,136000,4746100,183700,,0,4929800,44.3,308112,샘플,
2025-10-12,안양점,일,,,,,,,,,,,,0,,,샘플,
2025-10-13,안양점,월,9,9,,13.7,8.1,1.1,68000,2517200,,166000,0,2683200,22.9,298133,샘플,
2025-10-14,안양점,화,7,7,1,16.4,5.4,0.4,57000,2068500,85400,147000,0,2300900,22.2,328700,샘플,
2025-10-15,안양점,수,8,8,,12.6,5.1,1.0,49000,2335600,,,0,2335600,18.7,291950,샘플,
2025-10-16,안양점,목,,,,,,,,,,,,0,,,샘플,
2025-10-17,안양점,금,13,13,1,23.9,13.8,0.8,92000,3321400,85100,,0,3406500,38.5,262038,샘플,
2025-10-18,안양점,토,14,14,,31.1,8.8,0.8,99000,3281500,,,0,3281500,40.7,234393,샘플,
2025-10-19,안양점,일,15,15,,32.2,11.4,1.2,113000,3453900,,,0,3453900,44.8,230260,샘플,
2025-10-20,안양점,월,9,9,,20.9,9.1,0.4,67000,2382800,,96300,0,2479100,30.4,275456,샘플,
2025-10-21,안양점,화,4,4,,6.9,4.1,0.6,20000,1139400,,,0,1139400,11.6,284850,샘플,
2025-10-22,안양점,수,11,11,,19.7,12.0,2.9,71000,3290600,,,0,3290600,34.6,299145,샘플,
2025-10-23,안양점,목,10,10,,19.0,7.2,1.3,78000,2734200,,151100,0,2885300,27.5,288530,샘플,
2025-10-24,안양점,금,12,12,,20.7,8.8,1.6,51000,2916000,,82500,0,2998500,31.1,249875,샘플,
2025-10-25,안양점,토,17,17,1,29.3,14.7,3.3,143000,4029600,248400,,0,4278000,47.3,251647,샘플,
2025-10-26,안양점,일,12,12,,27.5,8.6,0.2,58000,3264400,,,0,3264400,36.3,272033,샘플,
2025-10-27,안양점,월,9,9,,19.8,8.4,0.0,37000,2471500,,,0,2471500,28.2,274611,샘플,
2025-10-28,안양점,화,11,11,,25.5,11.1,2.7,45000,2844900,,,0,2844900,39.3,258627,샘플,
2025-10-29,안양점,수,9,9,,17.4,7.2,2.1,53000,2488300,,,0,2488300,26.7,276478,샘플,
2025-10-30,안양점,목,12,12,1,22.5,7.5,2.7,71000,3502300,150700,,0,3653000,32.7,304417,샘플,
2025-10-31,안양점,금,12,12,,28.2,9.8,0.6,57000,2855300,,,0,2855300,38.6,237942,샘플,
2025-11-01,안양점,토,,,,,,,,,,,,0,,,샘플,
2025-11-02,안양점,일,11,11,,17.4,10.0,1.2,94000,2918400,,,0,2918400,28.6,265309,샘플,
2025-11-03,안양점,월,5,5,,9.7,5.0,1.5,32000,1219000,,,0,1219000,16.2,243800,샘플,
2025-11-04,안양점,화,,,,,,,,,,,,0,,,샘플,
2025-11-05,안양점,수,5,5,,10.3,5.1,0.2,40000,1425000,,161500,0,1586500,15.6,317300,샘플,
2025-11-06,안양점,목,12,12,,20.4,9.6,1.9,59000,3082200,,157800,0,3240000,31.9,270000,샘플,
2025-11-07,안양점,금,14,14,,29.4,10.7,1.6,85000,3666600,,,0,3666600,41.7,261900,샘플,
2025-11-08,안양점,토,13,13,1,24.7,10.6,0.1,102000,3553100,159000,,0,3712100,35.4,285546,샘플,
2025-11-09,안양점,일,14,14,1,22.3,9.3,1.8,100000,3309800,165700,64800,0,3540300,33.4,252879,샘플,
2025-11-10,안양점,월,11,11,1,23.8,10.9,1.7,47000,2571700,190900,,0,2762600,36.4,251145,샘플,
2025-11-11,안양점,화,7,7,,11.3,7.3,0.6,30000,2007300,,171600,0,2178900,19.2,311271,샘플,
2025-11-12,안양점,수,8,8,1,17.4,5.4,2.2,51000,1993900,104400,175700,0,2274000,25.0,284250,샘플,
2025-11-13,안양점,목,8,8,,14.7,5.6,1.0,63000,2196400,,,0,2196400,21.3,274550,샘플,
2025-11-14,안양점,금,12,12,,23.7,11.0,1.3,71000,3493200,,135500,0,3628700,36.0,302392,샘플,
2025-11-15,안양점,토,15,15,,30.3,11.7,3.4,98000,3914300,,,0,3914300,45.4,260953,샘플,
2025-11-16,안양점,일,20,20,,47.4,20.7,5.6,141000,5854000,,,0,5854000,73.7,292700,샘플,
2025-11-17,안양점,월,4,4,,6.5,2.9,0.8,23000,926200,,,0,926200,10.2,231550,샘플,
2025-11-18,안양점,화,7,7,1,14.2,6.3,0.4,36000,1915700,106900,,0,2022600,20.9,288943,샘플,
2025-11-19,안양점,수,11,11,,25.1,10.9,1.3,76000,2733400,,167100,0,2900500,37.3,263682,샘플,
2025-11-20,안양점,목,11,11,,22.5,9.4,1.6,54000,2657100,,63000,0,2720100,33.5,247282,샘플,
2025-11-21,안양점,금,13,13,1,26.7,12.1,0.8,56000,3365900,218200,,0,3584100,39.6,275700,샘플,
2025-11-22,안양점,토,15,15,1,35.9,14.4,2.2,66000,4015300,223500,169400,0,4408200,52.5,293880,샘플,
2025-11-23,안양점,일,17,17,,29.5,15.7,0.6,125000,4970600,,,0,4970600,45.8,292388,샘플,
2025-11-24,안양점,월,15,15,,34.9,16.3,1.3,79000,4424900,,61800,0,4486700,52.5,299113,샘플,
2025-11-25,안양점,화,7,7,,15.2,5.3,1.8,62000,1770900,,170600,0,1941500,22.3,277357,샘플,
2025-11-26,안양점,수,4,4,,7.9,3.3,0.6,33000,921700,,88000,0,1009700,11.8,252425,샘플,
2025-11-27,안양점,목,7,7,,14.1,4.8,0.1,29000,1664800,,,0,1664800,19.0,237829,샘플,
2025-11-28,안양점,금,14,14,,29.1,8.7,0.3,60000,3265700,,166900,0,3432600,38.1,245186,샘플,
2025-11-29,안양점,토,20,20,,31.9,14.1,0.7,127000,4648100,,135800,0,4783900,46.7,239195,샘플,
2025-11-30,안양점,일,11,11,,24.3,10.2,1.0,46000,2789100,,,0,2789100,35.5,253555,샘플,
2025-12-01,안양점,월,11,11,1,22.5,9.2,0.9,63000,3104100,85300,152700,0,3342100,32.6,303827,샘플,
2025-12-02,안양점,화,6,6,,11.9,4.2,1.6,32000,1418100,,,0,1418100,17.7,236350,샘플,
