날짜,매장,품목,품종,kg,단가,금액,거래처,원본시트
2024-05-06,안산점,마가단 대게,대게,60.3,45000,2713500,샘플 수산,샘플
2024-05-10,안산점,베르디 대게,대게,33.6,42000,1411200,샘플 수산,샘플
2024-05-13,안산점,동사 대게,대게,59.4,40000,2376000,샘플 수산,샘플
2024-05-17,안산점,마가단 대게,대게,86.3,38000,3279400,샘플 수산,샘플
2024-05-20,안산점,프리모리 대게,대게,51.0,40000,2040000,샘플 수산,샘플
2024-05-23,안산점,레드 킹크랩,킹크랩,71.0,58000,4118000,샘플 수산,샘플
2024-05-25,안산점,베르디 대게,대게,76.5,33000,2524500,샘플 수산,샘플
2024-05-27,안산점,마가단 대게,대게,94.4,36000,3398400,샘플 수산,샘플
2024-05-28,안산점,레드 킹크랩,킹크랩,116.4,62000,7216800,샘플 수산,샘플
2024-06-03,안산점,마가단 대게,대게,37.3,34000,1268200,샘플 수산,샘플
2024-06-03,안산점,블루 킹크랩,킹크랩,93.7,60000,5622000,샘플 수산,샘플
2024-06-06,안산점,레드 킹크랩,킹크랩,45.4,57000,2587800,샘플 수산,샘플
2024-06-12,안산점,브라운 킹크랩,킹크랩,126.3,56000,7072800,샘플 수산,샘플
2024-06-18,안산점,베르디 대게,대게,51.2,37000,1894400,샘플 수산,샘플
2024-06-19,안산점,동사 대게,대게,71.1,33000,2346300,샘플 수산,샘플
2024-06-20,안산점,브라운 킹크랩,킹크랩,66.2,55000,3641000,샘플 수산,샘플
2024-06-23,안산점,레드 킹크랩,킹크랩,31.8,57000,1812600,샘플 수산,샘플
2024-06-24,안산점,프리모리 대게,대게,93.6,30000,2808000,샘플 수산,샘플
2024-06-24,안산점,브라운 킹크랩,킹크랩,61.1,54000,3299400,샘플 수산,샘플
2024-07-04,안산점,브라운 킹크랩,킹크랩,93.9,53000,4976700,샘플 수산,샘플
2024-07-08,안산점,브라운 킹크랩,킹크랩,105.0,55000,5775000,샘플 수산,샘플
2024-07-09,안산점,마가단 대게,대게,125.7,32000,4022400,샘플 수산,샘플
2024-07-11,안산점,베르디 대게,대게,31.1,30000,933000,샘플 수산,샘플
2024-07-15,안산점,베르디 대게,대게,93.4,35000,3269000,샘플 수산,샘플
2024-07-22,안산점,프리모리 대게,대게,51.4,28000,1439200,샘플 수산,샘플
2024-07-25,안산점,블루 킹크랩,킹크랩,90.8,54000,4903200,샘플 수산,샘플
2024-07-28,안산점,동사 대게,대게,43.6,31000,1351600,샘플 수산,샘플
2024-07-29,안산점,마가단 대게,대게,34.7,32000,1110400,샘플 수산,샘플
2024-08-01,안산점,브라운 킹크랩,킹크랩,77.5,53000,4107500,샘플 수산,샘플
2024-08-02,안산점,브라운 킹크랩,킹크랩,52.6,53000,2787800,샘플 수산,샘플
2024-08-05,안산점,프리모리 대게,대게,114.9,31000,3561900,샘플 수산,샘플
2024-08-12,안산점,마가단 대게,대게,102.2,31000,3168200,샘플 수산,샘플
2024-08-12,안산점,블루 킹크랩,킹크랩,120.0,61000,7320000,샘플 수산,샘플
2024-08-15,안산점,마가단 대게,대게,80.5,32000,2576000,샘플 수산,샘플
2024-08-17,안산점,레드 킹크랩,킹크랩,110.9,59000,6543100,샘플 수산,샘플
2024-08-26,안산점,블루 킹크랩,킹크랩,81.4,59000,4802600,샘플 수산,샘플
2024-09-02,안산점,프리모리 대게,대게,67.7,35000,2369500,샘플 수산,샘플
2024-09-12,안산점,마가단 대게,대게,56.0,38000,2128000,샘플 수산,샘플
2024-09-12,안산점,블루 킹크랩,킹크랩,45.6,63000,2872800,샘플 수산,샘플
2024-09-16,안산점,프리모리 대게,대게,49.8,39000,1942200,샘플 수산,샘플
2024-09-16,안산점,블루 킹크랩,킹크랩,93.3,64000,5971200,샘플 수산,샘플
2024-09-26,안산점,동사 대게,대게,102.7,38000,3902600,샘플 수산,샘플
2024-09-30,안산점,브라운 킹크랩,킹크랩,87.0,64000,5568000,샘플 수산,샘플
2024-10-03,안산점,레드 킹크랩,킹크랩,37.1,72000,2671200,샘플 수산,샘플
2024-10-04,안산점,프리모리 대게,대게,106.2,39000,4141800,샘플 수산,샘플
2024-10-07,안산점,블루 킹크랩,킹크랩,36.2,66000,2389200,샘플 수산,샘플
2024-10-11,안산점,브라운 킹크랩,킹크랩,100.1,72000,7207200,샘플 수산,샘플
2024-10-14,안산점,동사 대게,대게,109.2,44000,4804800,샘플 수산,샘플
2024-10-26,안산점,동사 대게,대게,64.2,49000,3145800,샘플 수산,샘플
2024-10-27,안산점,블루 킹크랩,킹크랩,57.3,76000,4354800,샘플 수산,샘플
2024-10-28,안산점,마가단 대게,대게,51.6,48000,2476800,샘플 수산,샘플
2024-10-31,안산점,블루 킹크랩,킹크랩,91.5,78000,7137000,샘플 수산,샘플
2024-11-03,안산점,블루 킹크랩,킹크랩,55.9,78000,4360200,샘플 수산,샘플
2024-11-07,안산점,마가단 대게,대게,89.8,54000,4849200,샘플 수산,샘플
2024-11-14,안산점,레드 킹크랩,킹크랩,122.9,80000,9832000,샘플 수산,샘플
2024-11-15,안산점,마가단 대게,대게,54.5,50000,2725000,샘플 수산,샘플
2024-11-17,안산점,동사 대게,대게,61.5,51000,3136500,샘플 수산,샘플
2024-11-17,안산점,브라운 킹크랩,킹크랩,120.6,85000,10251000,샘플 수산,샘플
2024-11-18,안산점,블루 킹크랩,킹크랩,105.5,84000,8862000,샘플 수산,샘플
2024-11-21,안산점,레드 킹크랩,킹크랩,71.7,84000,6022800,샘플 수산,샘플
2024-11-22,안산점,블루 킹크랩,킹크랩,82.8,86000,7120800,샘플 수산,샘플
2024-12-02,안산점,레드 킹크랩,킹크랩,57.9,89000,5153100,샘플 수산,샘플
2024-12-05,안산점,블루 킹크랩,킹크랩,36.1,87000,3140700,샘플 수산,샘플
2024-12-06,안산점,동사 대게,대게,52.3,60000,3138000,샘플 수산,샘플
2024-12-06,안산점,블루 킹크랩,킹크랩,38.6,86000,3319600,샘플 수산,샘플
2024-12-09,안산점,레드 킹크랩,킹크랩,117.0,85000,9945000,샘플 수산,샘플
2024-12-22,안산점,블루 킹크랩,킹크랩,61.0,93000,5673000,샘플 수산,샘플
2025-01-02,안산점,브라운 킹크랩,킹크랩,66.2,90000,5958000,샘플 수산,샘플
2025-01-03,안산점,동사 대게,대게,97.7,57000,5568900,샘플 수산,샘플
2025-01-07,안산점,블루 킹크랩,킹크랩,81.6,90000,7343999,샘플 수산,샘플
2025-01-09,안산점,동사 대게,대게,114.2,58000,6623600,샘플 수산,샘플
2025-01-13,안산점,프리모리 대게,대게,104.6,63000,6589800,샘플 수산,샘플
2025-01-13,안산점,브라운 킹크랩,킹크랩,52.0,92000,4784000,샘플 수산,샘플
2025-01-27,안산점,브라운 킹크랩,킹크랩,50.4,89000,4485600,샘플 수산,샘플
2025-02-02,안산점,베르디 대게,대게,78.1,61000,4764100,샘플 수산,샘플
2025-02-03,안산점,프리모리 대게,대게,53.5,58000,3103000,샘플 수산,샘플
2025-02-12,안산점,블루 킹크랩,킹크랩,124.8,91000,11356800,샘플 수산,샘플
2025-02-14,안산점,레드 킹크랩,킹크랩,122.4,87000,10648800,샘플 수산,샘플
2025-02-20,안산점,레드 킹크랩,킹크랩,104.2,86000,8961200,샘플 수산,샘플
2025-02-22,안산점,베르디 대게,대게,112.1,56000,6277600,샘플 수산,샘플
2025-02-24,안산점,블루 킹크랩,킹크랩,78.0,81000,6318000,샘플 수산,샘플
2025-02-26,안산점,베르디 대게,대게,48.8,58000,2830400,샘플 수산,샘플
2025-02-27,안산점,프리모리 대게,대게,112.6,58000,6530800,샘플 수산,샘플
