현대카드 이용내역
조회기간,2026.08.01 ~ 2026.08.31
,,,,,
이용일,이용가맹점,업종,이용금액,할부,카드번호
2026.08.02,또와마트,유통,12500,일시불,9012
2026.08.02,네이버 검색광고,광고,100000,일시불,9012
2026.08.03,모노마트,도소매,165720,일시불,9012
2026.08.04,세븐일레븐 성수점,편의점,7900,일시불,9012
2026.08.05,다이소 성수,생활용품,9000,일시불,9012
2026.08.06,투웰브,식자재유통,1150400,일시불,9012
2026.08.07,메타플랫폼스,광고,99718,일시불,9012
2026.08.08,쿠팡,전자상거래,7890,일시불,9012
2026.08.09,또와마트,유통,7000,일시불,9012
2026.08.10,성수동정육점,정육,2410000,일시불,9012
2026.08.11,세븐일레븐 성수점,편의점,4500,일시불,9012
2026.08.12,냉동고 할부 (3/3),가전,42860,3개월,9012
2026.08.13,당근마켓 광고,광고,50000,일시불,9012
2026.08.14,홈마트,유통,131640,일시불,9012
2026.08.15,오늘의집,가구,88000,일시불,9012
